anomes,Continente,ticket_medio,cotacaoVenda
2007,América do Sul,1.1214525535017543,1.7713
2008,América do Sul,1.178069698390879,2.337
2009,América do Sul,6.136120657631005,1.7412
2010,América do Sul,2.6615567978762398,1.6662
2011,América do Sul,2.142239950921438,1.8758
2012,América do Sul,2.8431866034478834,2.435
2013,América do Sul,3.107357797988558,2.3426
2014,América do Sul,4.8690433945853115,2.6562
2015,América do Sul,1.4676709729838195,3.9048
2016,América do Sul,1.5101666887617673,3.2591
2017,América do Sul,2.243933534379063,3.308
2018,América do Sul,3.5447263713085677,3.8748
2019,América do Sul,2.092623436861925,4.307
2020,América do Sul,1.875794660643518,5.1967
2021,América do Sul,1.5330129007049837,5.5805
